month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2023-11,SENGKANG,5 ROOM,314A,ANCHORVALE LINK,01 TO 03,110,Premium Apartment,2003,78,568000
2023-11,SENGKANG,5 ROOM,315B,ANCHORVALE RD,01 TO 03,110,Premium Apartment,2003,78,540000
2023-11,SENGKANG,5 ROOM,330B,ANCHORVALE ST,01 TO 03,112,Improved,2015,90,670000
2023-11,SENGKANG,5 ROOM,274B,COMPASSVALE BOW,10 TO 12,113,Improved,2017,93,881000
2023-11,SENGKANG,5 ROOM,293B,COMPASSVALE CRES,13 TO 15,113,Improved,2016,92,765000
2023-11,SENGKANG,5 ROOM,288B,COMPASSVALE CRES,07 TO 09,113,Premium Apartment,2017,93,752000
2023-11,SENGKANG,5 ROOM,204B,COMPASSVALE DR,16 TO 18,110,Improved,2001,76,645000
2023-11,SENGKANG,5 ROOM,204C,COMPASSVALE DR,10 TO 12,110,Improved,2001,76,645000
2023-11,SENGKANG,5 ROOM,227C,COMPASSVALE DR,10 TO 12,115,Improved,2000,75,595000
2023-11,SENGKANG,5 ROOM,204A,COMPASSVALE DR,04 TO 06,110,Improved,2000,76,603000
2023-11,SENGKANG,5 ROOM,205C,COMPASSVALE LANE,10 TO 12,122,Improved,1999,74,620000
2023-11,SENGKANG,5 ROOM,246,COMPASSVALE RD,01 TO 03,115,Improved,2000,75,570000
2023-11,SENGKANG,5 ROOM,251,COMPASSVALE ST,07 TO 09,116,Improved,2000,76,620888
2023-11,SENGKANG,5 ROOM,298A,COMPASSVALE ST,13 TO 15,122,Premium Apartment,2001,76,655000
2023-11,SENGKANG,5 ROOM,251,COMPASSVALE ST,01 TO 03,115,Improved,2000,75,590000
2023-11,SENGKANG,5 ROOM,252,COMPASSVALE ST,13 TO 15,116,Improved,2000,75,630000
2023-11,SENGKANG,5 ROOM,228A,COMPASSVALE WALK,16 TO 18,115,Improved,2000,75,616800
2023-11,SENGKANG,5 ROOM,233,COMPASSVALE WALK,13 TO 15,123,Improved,1999,74,638000
2023-11,SENGKANG,5 ROOM,228C,COMPASSVALE WALK,07 TO 09,121,Improved,2000,75,628000
2023-11,SENGKANG,5 ROOM,404B,FERNVALE LANE,25 TO 27,112,Premium Apartment,2004,79,640000
2023-11,SENGKANG,5 ROOM,404B,FERNVALE LANE,01 TO 03,112,Premium Apartment,2004,79,520000
2023-11,SENGKANG,5 ROOM,415B,FERNVALE LINK,04 TO 06,113,Improved,2016,91,703888
2023-11,SENGKANG,5 ROOM,430A,FERNVALE LINK,19 TO 21,112,Improved,2015,90,715000
2023-11,SENGKANG,5 ROOM,415B,FERNVALE LINK,07 TO 09,113,Improved,2016,91,722000
2023-11,SENGKANG,5 ROOM,471B,FERNVALE ST,22 TO 24,113,Improved,2016,91,716000
2023-11,SENGKANG,5 ROOM,158B,RIVERVALE CRES,04 TO 06,109,Premium Apartment,2003,79,580000
2023-11,SENGKANG,5 ROOM,183B,RIVERVALE CRES,04 TO 06,110,Improved,2003,78,505000
2023-11,SENGKANG,5 ROOM,157C,RIVERVALE CRES,04 TO 06,109,Premium Apartment,2003,78,560000
2023-11,SENGKANG,5 ROOM,188B,RIVERVALE DR,01 TO 03,115,Improved,2000,75,540000
2023-11,SENGKANG,5 ROOM,121,RIVERVALE DR,07 TO 09,110,Improved,2000,75,570000
2023-11,SENGKANG,5 ROOM,193,RIVERVALE DR,16 TO 18,111,Improved,2001,76,588000
2023-11,SENGKANG,5 ROOM,186A,RIVERVALE DR,04 TO 06,110,Improved,2001,76,590000
2023-11,SENGKANG,5 ROOM,188B,RIVERVALE DR,04 TO 06,115,Improved,2000,75,580000
2023-11,SENGKANG,5 ROOM,110,RIVERVALE WALK,07 TO 09,121,Improved,1999,74,665000
2023-11,SENGKANG,5 ROOM,114,RIVERVALE WALK,13 TO 15,122,Improved,1998,74,701000
2023-11,SENGKANG,5 ROOM,110,RIVERVALE WALK,01 TO 03,120,Improved,1999,74,570000
2023-11,SENGKANG,5 ROOM,260C,SENGKANG EAST WAY,13 TO 15,110,Improved,2001,76,675000
2023-11,SENGKANG,5 ROOM,121C,SENGKANG EAST WAY,13 TO 15,110,Improved,2000,75,605000
2023-11,SENGKANG,EXECUTIVE,312A,ANCHORVALE LANE,10 TO 12,126,Premium Apartment,2002,78,710800
2023-11,SENGKANG,EXECUTIVE,306B,ANCHORVALE LINK,04 TO 06,128,Apartment,2001,77,683000
2023-11,SENGKANG,EXECUTIVE,302D,ANCHORVALE LINK,07 TO 09,130,Apartment,2001,77,735000
2023-11,SENGKANG,EXECUTIVE,310A,ANCHORVALE RD,13 TO 15,126,Premium Apartment,2003,78,735000
2023-11,SENGKANG,EXECUTIVE,313D,ANCHORVALE RD,01 TO 03,125,Premium Apartment,2003,78,690000
2023-11,SENGKANG,EXECUTIVE,298A,COMPASSVALE ST,07 TO 09,134,Premium Apartment,2001,76,730000
2023-11,SENGKANG,EXECUTIVE,250C,COMPASSVALE ST,07 TO 09,131,Apartment,2000,75,775000
2023-11,SENGKANG,EXECUTIVE,250A,COMPASSVALE ST,13 TO 15,130,Apartment,2000,75,800000
2023-11,SENGKANG,EXECUTIVE,298D,COMPASSVALE ST,04 TO 06,134,Premium Apartment,2001,76,720888
2023-11,SENGKANG,EXECUTIVE,116B,RIVERVALE DR,04 TO 06,130,Apartment,2000,75,700000
2023-11,SENGKANG,EXECUTIVE,189C,RIVERVALE DR,13 TO 15,131,Apartment,2000,75,755000
2023-11,SENGKANG,EXECUTIVE,143,RIVERVALE DR,04 TO 06,135,Apartment,1999,75,705000
2023-11,SENGKANG,EXECUTIVE,137,RIVERVALE ST,04 TO 06,142,Apartment,1998,74,710000
2023-11,SENGKANG,EXECUTIVE,135,RIVERVALE ST,10 TO 12,142,Apartment,1998,74,785000
2023-11,SENGKANG,EXECUTIVE,103,RIVERVALE WALK,10 TO 12,145,Maisonette,1999,74,880000
2023-11,SENGKANG,EXECUTIVE,122B,SENGKANG EAST WAY,04 TO 06,131,Apartment,2000,75,730000
